Object at (159, 555): Width=2.91cm, Height=0.7cm
Object at (256, 543): Width=9.07cm, Height=1.9cm
Object at (286, 532): Width=0.65cm, Height=1.07cm
Object at (325, 526): Width=0.88cm, Height=1.07cm
Object at (365, 517): Width=0.75cm, Height=0.99cm
Object at (402, 508): Width=0.94cm, Height=1.07cm
Object at (444, 504): Width=0.39cm, Height=0.94cm
Object at (469, 497): Width=0.96cm, Height=0.96cm
Object at (517, 485): Width=0.94cm, Height=1.07cm
Object at (567, 474): Width=3.12cm, Height=0.73cm
Object at (165, 465): Width=0.65cm, Height=0.94cm
Object at (150, 442): Width=2.0cm, Height=2.44cm
Object at (210, 418): Width=2.26cm, Height=2.65cm
Object at (306, 409): Width=2.0cm, Height=2.52cm
Object at (368, 385): Width=2.91cm, Height=2.76cm
Object at (622, 376): Width=0.65cm, Height=0.96cm
Object at (471, 376): Width=1.25cm, Height=2.44cm
Object at (512, 368): Width=1.25cm, Height=2.47cm
Object at (545, 351): Width=3.64cm, Height=2.68cm
Object at (655, 338): Width=0.52cm, Height=0.57cm
Object at (308, 183): Width=3.25cm, Height=4.58cm
Object at (336, 175): Width=4.6cm, Height=3.35cm
Object at (277, 170): Width=5.88cm, Height=5.15cm
Object at (328, 168): Width=4.86cm, Height=4.03cm
Object at (340, 165): Width=4.47cm, Height=3.35cm
Object at (377, 157): Width=2.31cm, Height=2.29cm
Object at (321, 127): Width=0.65cm, Height=0.68cm
Object at (7, 0): Width=20.57cm, Height=20.67cm
